raw_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_projected_to_left_view_x,gaze_projected_to_left_view_y,gaze_projected_to_right_view_x,gaze_projected_to_right_view_y,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_pupil_size,left_status,left_projected_x,left_projected_y,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_pupil_size,right_status,right_projected_x,right_projected_y
1000878636085610000,11707306800,2,582751,1,2,0.078555,-0.165181,0.98313,0,0,0,0.289466,-0.165035,-0.080139,-0.164868,0.086182,-0.170194,0.981635,-0.033138,0,0,0.164886,2,0.26012,-0.170296,0.07056,-0.159922,0.984605,0.033138,0,0,0.175271,2,-0.051412,-0.159387
1000878636095710000,11717410300,2,582752,1,2,0.078636,-0.165086,0.983139,0,0,0,0.289559,-0.164938,-0.080046,-0.164771,0.086217,-0.169979,0.981669,-0.033138,0,0,0.164797,2,0.260157,-0.170075,0.070692,-0.15995,0.984591,0.033138,0,0,0.175266,2,-0.051259,-0.159417
1000878636105710000,11727407200,2,582753,1,2,0.078741,-0.165519,0.983058,0,0,0,0.289691,-0.165384,-0.079921,-0.165217,0.086391,-0.16958,0.981723,-0.033138,0,0,0.164577,2,0.260353,-0.169666,0.070714,-0.161274,0.984373,0.033138,0,0,0.175187,2,-0.051216,-0.160771
1000878636115720000,11737415400,2,582754,1,2,0.0788,-0.165516,0.983054,0,0,0,0.289759,-0.165383,-0.079854,-0.165215,0.086449,-0.169792,0.981681,-0.033138,0,0,0.164446,2,0.260424,-0.169887,0.07075,-0.161097,0.984399,0.033138,0,0,0.175141,2,-0.051178,-0.16059
1000878636125700000,11747395500,2,582755,1,2,0.078868,-0.16487,0.983157,0,0,0,0.289825,-0.164719,-0.07978,-0.164553,0.08673,-0.169304,0.98174,-0.033138,0,0,0.164149,2,0.260743,-0.169388,0.07064,-0.160358,0.984528,0.033138,0,0,0.175069,2,-0.051314,-0.159833
1000878636135800000,11757493900,2,582756,1,2,0.078192,-0.163973,0.983361,0,0,0,0.289017,-0.16379,-0.080567,-0.163625,0.086785,-0.169056,0.981778,-0.033138,0,0,0.164094,2,0.260803,-0.169133,0.069475,-0.15844,0.984921,0.033138,0,0,0.174566,2,-0.05268,-0.15786
1000878636145720000,11767415800,2,582757,1,2,0.078023,-0.164328,0.983315,0,0,0,0.288828,-0.164152,-0.080758,-0.163986,0.087109,-0.168847,0.981785,-0.033138,0,0,0.163987,2,0.261178,-0.168923,0.068917,-0.159436,0.9848,0.033138,0,0,0.174488,2,-0.053309,-0.158872
1000878636155860000,11777556200,2,582758,1,2,0.07863,-0.162918,0.983501,0,0,0,0.289506,-0.162714,-0.080071,-0.16255,0.087544,-0.167653,0.981951,-0.033138,0,0,0.16371,2,0.261665,-0.1677,0.069582,-0.157655,0.98504,0.033138,0,0,0.174293,2,-0.052566,-0.15706
1000878636165870000,11787569700,2,582759,1,2,0.082377,-0.163922,0.983028,0,0,0,0.293899,-0.163793,-0.075748,-0.163628,0.087813,-0.168363,0.981806,-0.033138,0,0,0.163573,2,0.261991,-0.168435,0.076676,-0.159398,0.984232,0.033138,0,0,0.174249,2,-0.044373,-0.158922
1000878636175870000,11797565700,2,582760,1,2,0.079046,-0.162908,0.98347,0,0,0,0.28999,-0.162709,-0.079593,-0.162545,0.087608,-0.167904,0.981903,-0.033138,0,0,0.163401,2,0.261743,-0.167959,0.070402,-0.157541,0.985,0.033138,0,0,0.174132,2,-0.051624,-0.156952
1000878636185860000,11807553200,2,582761,0.989727,2,0.081987,-0.163162,0.983187,0,0,0,0.293427,-0.163007,-0.076204,-0.162843,0.090038,-0.168088,0.981651,-0.033138,0,0,0.16328,2,0.264583,-0.168186,0.073572,-0.158147,0.984671,0.033138,0,0,0.174139,2,-0.047967,-0.157607
1000878636195820000,11817513200,2,582762,0.389584,2,0.040822,-0.153497,0.987306,0,0,0,0.24549,-0.152728,-0.123463,-0.152576,0.041938,-0.146225,0.988362,-0.033138,0,0,0.162867,2,0.20857,-0.145339,0.039715,-0.161218,0.986119,0.033138,0,0,0.168683,2,-0.086815,-0.160439
1000878636205780000,11827479700,2,582763,0,2,0.000856,-0.099485,0.995039,0,0,0,0.199178,-0.098222,-0.168847,-0.098137,-0.028734,-0.112715,0.993212,-0.033138,0,0,0.157796,2,0.127437,-0.11149,0.038986,-0.080767,0.99597,0.033138,0,0,0.163495,2,-0.088078,-0.079598
1000878636215930000,11837626100,2,582764,0,2,-0.036539,-0.037703,0.998621,0,0,0,0.156458,-0.037066,-0.210975,-0.037054,-0.074831,-0.072235,0.994577,-0.033138,0,0,0.159036,2,0.074781,-0.071337,0.015526,0.005419,0.999865,0.033138,0,0,0.169362,2,-0.114722,0.005336
1000878636225980000,11847673700,2,582765,0,2,-0.129877,-0.03263,0.990993,0,0,0,0.049345,-0.032311,-0.317819,-0.032305,-0.121937,-0.032005,0.992022,-0.033138,0,0,0.160302,2,0.020578,-0.03166,-0.138235,-0.033245,0.989841,0.033138,0,0,0.170313,2,-0.289787,-0.032951
1000878636236000000,11857693700,2,582766,0,2,-0.162507,-0.008258,0.986673,0,0,0,0.011279,-0.008176,-0.355911,-0.0082,-0.161528,-0.008892,0.986828,-0.033138,0,0,0.161336,2,-0.025744,-0.008806,-0.163442,-0.007613,0.986524,0.033138,0,0,0.173028,2,-0.319123,-0.007559
1000878636245940000,11867633300,2,582767,0,2,-0.183311,0.014208,0.982952,0,0,0,-0.013326,0.01425,-0.380604,0.0142,-0.188811,0.003976,0.982005,-0.033138,0,0,0.160921,2,-0.058208,0.004026,-0.17791,0.024047,0.983753,0.033138,0,0,0.17752,2,-0.336222,0.024004
1000878636255970000,11877669100,2,582768,0,2,-0.179334,0.011192,0.983724,0,0,0,-0.008598,0.011227,-0.375855,0.01118,-0.185684,0.00502,0.982597,-0.033138,0,0,0.160767,2,-0.054464,0.005068,-0.172374,0.0173,0.98488,0.033138,0,0,0.177153,2,-0.329656,0.017254
1000878636265990000,11887690100,2,582769,0,2,-0.180168,0.01072,0.983577,0,0,0,-0.009585,0.010757,-0.376846,0.01071,-0.182755,0.00407,0.98315,-0.033138,0,0,0.160645,2,-0.050961,0.004115,-0.177383,0.016856,0.983998,0.033138,0,0,0.176298,2,-0.335569,0.016826
1000878636276000000,11897700800,2,582770,0,2,-0.185366,0.012629,0.982588,0,0,0,-0.015765,0.012676,-0.383052,0.012628,-0.182099,0.005404,0.983265,-0.033138,0,0,0.160612,2,-0.050178,0.005448,-0.188613,0.019234,0.981863,0.033138,0,0,0.175853,2,-0.348897,0.019238
1000878636286090000,11907787400,2,582771,0,2,-0.184914,0.01222,0.982679,0,0,0,-0.015226,0.012266,-0.382511,0.012218,-0.18168,0.005767,0.983341,-0.033138,0,0,0.160567,2,-0.049678,0.00581,-0.188135,0.018275,0.981973,0.033138,0,0,0.175605,2,-0.348325,0.018278
1000878636296100000,11917798200,2,582772,0,2,-0.185523,0.012055,0.982566,0,0,0,-0.01595,0.012102,-0.383237,0.012054,-0.182041,0.005828,0.983274,-0.033138,0,0,0.160464,2,-0.050109,0.005872,-0.188991,0.01793,0.981815,0.033138,0,0,0.175296,2,-0.349342,0.017935
1000878636306030000,11927730800,2,582773,0,2,-0.186514,0.01225,0.982376,0,0,0,-0.01713,0.012299,-0.384422,0.012251,-0.182725,0.006606,0.983142,-0.033138,0,0,0.160468,2,-0.050928,0.00665,-0.190294,0.017702,0.981568,0.033138,0,0,0.175024,2,-0.350892,0.017712
1000878636316070000,11937762800,2,582774,0,2,-0.187517,0.012171,0.982186,0,0,0,-0.018324,0.012223,-0.385622,0.012175,-0.183447,0.006743,0.983007,-0.033138,0,0,0.160493,2,-0.05179,0.006788,-0.191589,0.017423,0.981321,0.033138,0,0,0.174895,2,-0.352433,0.017437
1000878636326110000,11947806500,2,582775,0,2,-0.188025,0.012531,0.982084,0,0,0,-0.01893,0.012585,-0.38623,0.012536,-0.183806,0.007255,0.982936,-0.033138,0,0,0.160494,2,-0.05222,0.0073,-0.192255,0.017674,0.981186,0.033138,0,0,0.174815,2,-0.353228,0.017691
1000878636336140000,11957836100,2,582776,0,2,-0.18896,0.012554,0.981905,0,0,0,-0.020044,0.01261,-0.387349,0.012562,-0.184084,0.007395,0.982883,-0.033138,0,0,0.160455,2,-0.052553,0.007441,-0.193839,0.017505,0.980877,0.033138,0,0,0.174662,2,-0.355117,0.017528
1000878636346160000,11967855500,2,582777,0,2,-0.189283,0.012447,0.981844,0,0,0,-0.020429,0.012504,-0.387736,0.012455,-0.183328,0.007276,0.983025,-0.033138,0,0,0.160454,2,-0.05165,0.00732,-0.195192,0.017446,0.98061,0.033138,0,0,0.174569,2,-0.356732,0.017472
1000878636356280000,11977976700,2,582778,0,2,-0.189114,0.012017,0.981882,0,0,0,-0.020226,0.012073,-0.387532,0.012025,-0.182321,0.007021,0.983214,-0.033138,0,0,0.160488,2,-0.050446,0.007065,-0.195793,0.016848,0.980501,0.033138,0,0,0.174502,2,-0.357448,0.016876
1000878636366270000,11987972100,2,582779,0,2,-0.193338,0.013837,0.981035,0,0,0,-0.025272,0.013905,-0.392602,0.013855,-0.183114,0.006829,0.983068,-0.033138,0,0,0.160522,2,-0.051392,0.006873,-0.202631,0.020663,0.979037,0.033138,0,0,0.174448,2,-0.365651,0.020724
1000878636376210000,11997903900,2,582780,0,2,-0.193719,0.013883,0.980959,0,0,0,-0.025726,0.013952,-0.393059,0.013902,-0.183974,0.007612,0.982902,-0.033138,0,0,0.160566,2,-0.052421,0.007657,-0.202679,0.020021,0.979041,0.033138,0,0,0.174423,2,-0.365706,0.02008
1000878636386230000,12007926600,2,582781,0,2,-0.193915,0.0143,0.980914,0,0,0,-0.025962,0.014371,-0.393296,0.01432,-0.184366,0.00833,0.982822,-0.033138,0,0,0.160518,2,-0.052892,0.008375,-0.202693,0.020154,0.979035,0.033138,0,0,0.174329,2,-0.365723,0.020214
1000878636396230000,12017928300,2,582782,0,2,-0.194586,0.014703,0.980775,0,0,0,-0.026766,0.014777,-0.394104,0.014726,-0.186083,0.009148,0.982491,-0.033138,0,0,0.160496,2,-0.054948,0.009197,-0.202558,0.020287,0.97906,0.033138,0,0,0.174264,2,-0.365561,0.020347
1000878636406340000,12028037800,2,582783,0,2,-0.195372,0.015326,0.98061,0,0,0,-0.027707,0.015403,-0.39505,0.015351,-0.186406,0.009768,0.982424,-0.033138,0,0,0.160462,2,-0.055336,0.009817,-0.203643,0.020728,0.978826,0.033138,0,0,0.174104,2,-0.366865,0.020793
1000878636416330000,12038029900,2,582784,0,2,-0.194781,0.015634,0.980722,0,0,0,-0.027002,0.01571,-0.394342,0.015657,-0.186788,0.009794,0.982351,-0.033138,0,0,0.160424,2,-0.055794,0.009844,-0.202311,0.021254,0.979091,0.033138,0,0,0.173985,2,-0.36527,0.021316
1000878636426380000,12048082000,2,582785,0.442307,2,-0.194885,0.01558,0.980702,0,0,0,-0.027125,0.015656,-0.394466,0.015604,-0.187024,0.009703,0.982307,-0.033138,0,0,0.160377,2,-0.056075,0.009753,-0.202321,0.021202,0.97909,0.033138,0,0,0.173919,2,-0.365282,0.021263
1000878636436370000,12058067300,2,582786,0.881391,2,-0.194878,0.015731,0.980701,0,0,0,-0.027118,0.015807,-0.394459,0.015755,-0.187345,0.009848,0.982245,-0.033138,0,0,0.160295,2,-0.05646,0.009899,-0.202014,0.021359,0.97915,0.033138,0,0,0.173903,2,-0.364915,0.021419
1000878636446360000,12068054500,2,582787,0.953767,2,-0.19502,0.015761,0.980673,0,0,0,-0.027287,0.015837,-0.39463,0.015785,-0.187643,0.010002,0.982186,-0.033138,0,0,0.16018,2,-0.056818,0.010053,-0.201988,0.021243,0.979158,0.033138,0,0,0.173836,2,-0.364883,0.021303
1000878636456350000,12078046700,2,582788,0.96541,2,-0.194913,0.015845,0.980693,0,0,0,-0.02716,0.015922,-0.394501,0.01587,-0.187704,0.010116,0.982174,-0.033138,0,0,0.160149,2,-0.056892,0.010167,-0.201724,0.021278,0.979211,0.033138,0,0,0.173732,2,-0.364566,0.021337
1000878636466410000,12088111300,2,582789,1,2,-0.193667,0.015283,0.980948,0,0,0,-0.025669,0.015355,-0.393003,0.015303,-0.187683,0.010186,0.982177,-0.033138,0,0,0.160081,2,-0.056866,0.010237,-0.199444,0.020026,0.979705,0.033138,0,0,0.17361,2,-0.361828,0.020072
1000878636476470000,12098164500,2,582790,1,2,-0.194439,0.015667,0.98079,0,0,0,-0.026592,0.015742,-0.393931,0.01569,-0.187245,0.010188,0.98226,-0.033138,0,0,0.160002,2,-0.056341,0.010239,-0.201272,0.020916,0.979312,0.033138,0,0,0.173368,2,-0.364023,0.020972
1000878636486450000,12108142800,2,582791,1,2,-0.192789,0.015827,0.981113,0,0,0,-0.024622,0.015898,-0.391951,0.015845,-0.18747,0.010439,0.982215,-0.033138,0,0,0.159944,2,-0.056611,0.01049,-0.198032,0.020888,0.979973,0.033138,0,0,0.173186,2,-0.360143,0.02093
1000878636496480000,12118173600,2,582792,1,2,-0.194,0.015857,0.980873,0,0,0,-0.026068,0.015931,-0.393404,0.015878,-0.187302,0.010473,0.982247,-0.033138,0,0,0.159846,2,-0.056411,0.010524,-0.200385,0.021091,0.97949,0.033138,0,0,0.173019,2,-0.36296,0.021144
1000878636506410000,12128108000,2,582793,0.997378,2,-0.192481,0.015769,0.981174,0,0,0,-0.024254,0.015838,-0.391582,0.015786,-0.187543,0.010435,0.982201,-0.033138,0,0,0.159735,2,-0.056699,0.010486,-0.197304,0.020822,0.980121,0.033138,0,0,0.17289,2,-0.359271,0.020862
1000878636516410000,12138108400,2,582794,0.990858,2,-0.191435,0.015369,0.981385,0,0,0,-0.023003,0.015434,-0.390324,0.015382,-0.187611,0.010575,0.982186,-0.033138,0,0,0.15962,2,-0.056782,0.010626,-0.195223,0.019913,0.980557,0.033138,0,0,0.172686,2,-0.35678,0.019943
1000878636526470000,12148166800,2,582795,0.971275,2,-0.193698,0.015935,0.980932,0,0,0,-0.025708,0.016008,-0.393042,0.015956,-0.189047,0.010812,0.981908,-0.033138,0,0,0.159532,2,-0.058503,0.010867,-0.198258,0.021022,0.979924,0.033138,0,0,0.172435,2,-0.360414,0.021066
1000878636536580000,12158279200,2,582796,0.930651,2,-0.190968,0.017565,0.981439,0,0,0,-0.022452,0.017632,-0.389774,0.017577,-0.184717,0.012606,0.982711,-0.033138,0,0,0.15937,2,-0.053321,0.012652,-0.197081,0.022092,0.980138,0.033138,0,0,0.172237,2,-0.359011,0.022132
1000878636546600000,12168296500,2,582797,0.5845,2,-0.212967,0.027556,0.976671,0,0,0,-0.048916,0.027765,-0.416394,0.027698,-0.216997,0.026031,0.975825,-0.033138,0,0,0.157496,2,-0.092376,0.026252,-0.209037,0.028918,0.97748,0.033138,0,0,0.169233,2,-0.373402,0.029042
1000878636556580000,12178277100,2,582798,0.476599,2,-0.216656,0.039132,0.975463,0,0,0,-0.053466,0.039455,-0.421,0.039374,-0.211616,0.026086,0.977005,-0.033138,0,0,0.157439,2,-0.085822,0.026277,-0.221409,0.05075,0.97386,0.033138,0,0,0.175255,2,-0.388596,0.051141
1000878636566600000,12188299300,2,582799,0.411513,2,-0.220709,0.041648,0.97445,0,0,0,-0.058407,0.042031,-0.42598,0.041947,-0.217446,0.029195,0.975636,-0.033138,0,0,0.157525,2,-0.092947,0.029443,-0.223892,0.052832,0.973181,0.033138,0,0,0.174545,2,-0.391647,0.053274
1000878636576610000,12198302800,2,582800,0.405792,2,-0.220414,0.042426,0.974483,0,0,0,-0.058056,0.042814,-0.425629,0.042728,-0.219696,0.032001,0.975043,-0.033138,0,0,0.157742,2,-0.095719,0.032288,-0.221671,0.051627,0.973754,0.033138,0,0,0.173595,2,-0.388926,0.05203
1000878636586620000,12208321900,2,582801,0.374219,2,-0.223254,0.04199,0.973855,0,0,0,-0.061507,0.042401,-0.429102,0.042316,-0.220974,0.034072,0.974684,-0.033138,0,0,0.157838,2,-0.0973,0.034386,-0.225656,0.049425,0.972953,0.033138,0,0,0.173033,2,-0.393749,0.049851
1000878636596730000,12218428400,2,582802,0.364087,2,-0.223691,0.043575,0.973686,0,0,0,-0.062054,0.044007,-0.429658,0.043921,-0.221647,0.034817,0.974505,-0.033138,0,0,0.157703,2,-0.098131,0.035143,-0.22593,0.051386,0.972787,0.033138,0,0,0.172712,2,-0.394111,0.051837
1000878636606730000,12228428000,2,582803,0.338651,2,-0.225887,0.044492,0.973137,0,0,0,-0.06474,0.044956,-0.432365,0.044869,-0.224255,0.035054,0.9739,-0.033138,0,0,0.15768,2,-0.101329,0.035403,-0.227681,0.052765,0.972305,0.033138,0,0,0.172485,2,-0.396268,0.053253
